Test Suite ID,Test Case ID,Priority,Module,Summary,Preconditions,Test data,Steps,Expected Result,Remarks
Функциональные проверки,,,,,,,,,
TS-01,TC-01,High,Форма авторизации,Успешная авторизация зарегистрированного пользователя при вводе валидных данных,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе.","Логин: IvanovIvan
Пароль: Ivanov2003@","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Ввести значение из тестовых данных поле ""Пароль"";
3. Нажать кнопку ""Войти"".","1. Введенное значение отображено в поле ""Логин"";
2. Введенное значение отображено в поле ""Пароль"";
3. Пользователь авторизован в систему. Открывется личный кабинет пользователя.",
TS-01,TC-02,High,Форма авторизации,Отказ авторизации незарегистрированного пользователя,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь не зарегистрирован в системе.","Логин: IvanovIvan
Пароль: Ivanov2003@","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Ввести значение из тестовых данных поле ""Пароль"";
3. Нажать кнопку ""Войти"".","1. Введенное значение отображено в поле ""Логин"";
2. Введенное значение отображено в поле ""Пароль"";
3. Отказ авторизации. Отображено сообщение об ошибке ""Неверный логин или пароль"".",
TS-01,TC-03,High,Форма авторизации,Отказ авторизации зарегистрированного пользователя при вводе невалидных данных (регистр),"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе.","Логин: IVANOVIVAN
Пароль: IIVANOV2003@","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Ввести значение из тестовых данных поле ""Пароль"";
3. Нажать кнопку ""Войти"".","1. Введенное значение отображено в поле ""Логин"";
2. Введенное значение отображено в поле ""Пароль"";
3. Отказ авторизации. Отображено сообщение об ошибке ""Введен неверный логин или пароль"".",
TS-01,TC-04,High,Форма авторизации,Отказ авторизации зарегистрированного пользователя при вводе невалидных данных (язык),"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе.","Логин: ИвановИван
Пароль: Иванов2003@","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Ввести значение из тестовых данных поле ""Пароль"";
3. Нажать кнопку ""Войти"".","1. Введенное значение отображено в поле ""Логин"";
2. Введенное значение отображено в поле ""Пароль"";
3. Отказ авторизации. Отображено сообщение об ошибке ""Введен неверный логин или пароль"".",
TS-01,TC-05,High,Форма авторизации,Отказ авторизации зарегистрированного пользователя при вводе невалидных данных в поле логин,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе.","Логин: IvanovIvan@
Пароль: Ivanov2003@","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Ввести значение из тестовых данных поле ""Пароль"";
3. Нажать кнопку ""Войти"".","1. Введенное значение отображено в поле ""Логин"";
2. Введенное значение отображено в поле ""Пароль"";
3. Отказ авторизации. Отображено сообщение об ошибке ""Введен неверный логин"".",
TS-01,TC-06,High,Форма авторизации,Отказ авторизации зарегистрированного пользователя при вводе невалидных данных в поле пароль,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе.","Логин: IvanovIvan
Пароль: Ivanov2003","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Ввести значение из тестовых данных поле ""Пароль"";
3. Нажать кнопку ""Войти"".","1. Введенное значение отображено в поле ""Логин"";
2. Введенное значение отображено в поле ""Пароль"";
3. Отказ авторизации. Отображено сообщение об ошибке ""Введен неверный пароль"".",
TS-01,TC-07,High,Форма авторизации,Отказ авторизации пользователя с пустыми полями,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
",Данные отсутствуют,"1. Оставить поле ""Логин"" пустым; 
2. Оставить поле ""Пароль"" пустым;
3. Нажать кнопку ""Войти"".","Отказ авторизации. Отображено сообщение об ошибке ""Заполните обязательные поля"". ",
TS-01,TC-08,High,Форма авторизации,Отказ авторизации зарегистрированного пользователя с пустым полем логин и валидными данными в поле пароль,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе","Логин: пустое
Пароль: Ivanov2003@","1. Оставить поле ""Логин"" пустым; 
2. Ввести значение из тестовых данных поле ""Пароль"";
3. Нажать кнопку ""Войти"".","Отказ авторизации. Отображено сообщение об ошибке ""Заполните обязательные поля"". ",
TS-01,TC-09,High,Форма авторизации,Отказ авторизации зарегистрированного пользователя при вводе валидных данных в поле логин и пустым полем пароль,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе","Логин: IvanovIvan
Пароль: пустое","1. Ввести значение из тестовых данных в поле ""Логин""; 
2.Оставить поле ""Пароль"" пустым;
3. Нажать кнопку ""Войти"".","Отказ авторизации. Отображено сообщение об ошибке ""Заполните обязательные поля"".",
TS-01,TC-10,High,Форма авторизации,"Проверка функциональности кнопки ""Войти"" ","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
",,"1. Обратить внимание на кнопку ""Войти"".","Кнопка ""Войти"" доступна и функциональна",
TS-01,TC-11,High,Форма авторизации,"Проверка функциональности кнопки ""Восстановить пароль""","1. Открыт сайт ""Название"" 
2. Открыта форма авторизации пользователя
",,"1. Нажать на кнопку ""Восстановить пароль"". ","Кнопка ""Восстановить пароль"" доступна и функциональна. Происходит переход на страницу восстановления пароля. ",
TS-01,TC-12,High,Форма авторизации,"Проверка функциональности кнопки ""Создать аккаунт""","1. Открыт сайт ""Название"" 
2. Открыта форма авторизации пользователя
",,"1. Нажать на ""Создать аккаунт"".","Кнопка ""Создать аккаунт"" доступна и функциональна. Происходит переход на страницу с формой регистрации .",
TS-01,TC-13,Medium,Форма авторизации,"Проверка функциональности чекбокса ""Запомнить меня""","1. Открыт сайт ""Название"" 
2. Открыта форма авторизации пользователя",,"1. Установить чекбокс ""Запомнить меня"".","Кнопка ""Запомнить меня"" доступна и функциональна",
Нефункциональные проверки,,,,,,,,,
Тестирование пользовательского интерфейса,,,,,,,,,
TS-02,TC-01,Medium,Форма авторизации,"Кнопка ""Войти"" меняет цвет при наведении курсора ","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя",,"Навести курсор на кнопку ""Войти""","Изменен цвет у кнопки ""Войти"".",
TS-02,TC-02,Low,Форма авторизации,Наличие плейсхолдеров в полях ввода логин и пароль,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя",," 1. Проверить наличие плейсхолдеров в полях ""Логин"" и ""Пароль"".","Отображается плейсхолдер ""Введите логин"" для поля ""Логин"". Отображается ""Введите пароль"" для поля ""Пароль"". ",
Тестирование производительности,,,,,,,,,
TS-03,TC-01,High,Форма авторизации,Тестирование производительности при одновременной отправке 1000 запросов авторизации ,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя",,Запустить скрипт на 1000 запросов на авторизацию ,"Время отклика на запрос для каждого пользователя остается в допустимых пределах (например, не превышает 1 секунду для каждого запроса).",
TS-03,TC-02,High,Форма авторизации,Проверка времени отклика формы,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя",,"1. Обратить внимание на время отклика
2. Сравнить значение отклика соглано требованию","Время отклика не превышает установленного порога (например, 1 секунда).",
Тестирование совместимости,,,,,,,,,
TS-04,TC-01,High,Форма авторизации,"Проверка как форма авторизации выглядит и работает в различных веб-браузерах (Chrome, Firefox, Safari, Microsoft Edge).","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя",,"1. Открыть форму авторизации в каждом из браузеров.
2. Проверить корректность отображения всех элементов: поля ввода, кнопки, сообщения об ошибках.","Функциональность: ввод данных, нажатие кнопок, валидация работает везде одинаково.",
TS-04,TC-02,High,Форма авторизации,"Проверка как форма авторизации выглядит и работает на различных операционных системах Windows, macOS, Linux.","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя",,"1. Открыть форму авторизации на каждой операционной системе.
2. Проверить корректность отображения всех элементов: поля ввода, кнопки, сообщения об ошибках.","Функциональность: ввод данных, нажатие кнопок, валидация работает везде одинаково.",
Тестирование безопасности,,,,,,,,,
TS-05,TC-01,High,Форма авторизации,"Отображение капчи после трёх неудачных попыток ввода пароля для проверки, что пользователь не робот.","1. Открыт сайт ""Название"" 
2. Открыта форма авторизации пользователя
","Логин: IvanovIvan
Пароль: 12345","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Ввести значение из тестовых данных поле ""Пароль"";
3. Нажать кнопку ""Войти"";
4. Повторить данные действия три раза.","1. Введенное значение отображено в поле ""Логин"";
2. Введенное значение отображено в поле ""Пароль"";
3. Отказ авторизации. Отображено сообщение об ошибке ""Неверный логин или пароль"".
4. Отображается капча для проверки, что пользователь не робот.",
Тестирование пользовательского интерфейса,,,,,,,,,
TS-06,TC-01,Medium,Форма авторизации,Проверка отображения формы авторизации в темном режиме,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя",,1. Включить темный режим.,Корректное отображение формы авторизации при включении темного режима,
TS-06,TC-02,Medium,Форма авторизации,Проверка отображения при переключении между темным и светлым режимами,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя",,1. Переключить со светлого режима на темный режим.,Корректное отображение формы авторизации при переключении между темным и светлым режимами,
Тестирование локализации и интернационализации,,,,,,,,,
TS-07,TC-01,High,Форма авторизации,Проверка перевода текстовых элементов интерфейса при смене языка интерфейса,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
",,"Изменить язык интерфейса (например, на французкий)",Все текстовые элементы корректно переведены на выбранный язык,
TS-08,TC-02,High,Форма авторизации,Проверка направления текста (LTR и RTL) при смене языка ,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
",,Изменить язык интерфейса на арабский или иврит,Все элементы корректно отображаются с направлением текста RTL ,
TS-09,TC-03,Medium,Форма авторизации,Провкерка корректного отображения времени с учетом часового пояса,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
",,"Изменить часовой пояс системы на различные значения (например, GMT+1)","Время корректно отображается, в соответствии с выбранным часовым поясом",
TS-10,TC-04,High,Форма авторизации,"Проверка поддержки разных форматов дат, времени, валют и чисел",Выбран регион ,,"Проверить форматы дат, времени, валют и чисел в рамках выбранного региона. ","Даты, время, валюты и чисела отображаются корректно в рамках выбранного региона",
Тестирование доступности,,,,,,,,,
TS-11,TC-01,Medium,Форма авторизации,"Сайт поддерживает функцию ""экранный диктор"" для чтения элементов страницы","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Убедиться, что сайт поддерживает функцию ""экранный диктор"".",,"1. Включить экранный диктор на устройстве
2. Переместиться по странице с помощью клавиатуры. 
3. Переместиться по полям ввода, чекбоксам, радио-кнопкам и другим элементам формы с помощью клавиатуры.","Все текстовые элементы на странице (заголовки, параграфы, ссылки, кнопки, формы) корректно озвучиваются экранным диктором",
TS-11,TC-02,Medium,Форма авторизации,Возможность навигации с помощью клавиатуры,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Убедиться, что сайт поддерживает навигацию с помощью клавиатуры.",,"1. Нажать клавишу Tab и перемещаться между интерактивными элементами на странице.
2.Нажать Shift+Tab, чтобы перемещаться между элементами в обратном порядке
3. Выбрать ссылку или кнопку с помощью клавиши Tab, затем активировать её с помощью клавиши Enter.
4. Нажать стрелки для прокрутки.","Все интерактивные элементы на странице доступны с помощью клавиатуры. Пооисходит переход по ссылке, отправка формы, активация кнопки.",
Тестирование локализации и совместимости с Юникодом,,,,,,,,,
TS-12,TC-01,Medium,Форма авторизации,Проверка возможности использования символов на разных языках (Юникод),"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя",,Выполнить ввод символов (Юникод) на разных языках,"Поле принимает и корректно отображает символы на разных языках, поддерживающих Юникод",